partNumber,productName,spec,rate,stock,safety,laststock1,laststock2,laststock3,prdictSafety1,prdictSafety2,seasonPart,modelName,recommend,createTime,true_consumption1_x,true_consumption1_y
22007-000120,聯軸器-羅昇(TS)-夾緊型,SFC-050SA2-12*19(D56-L45-d12-d19),1.0,0.0,0.0,6.0,9.0,0.0,3,1,0,2022-09-13-11-34-33,4,1663040931,0.0,0.0
22007-000136,聯軸器-羅昇(TS)-夾緊型,SFC-020SA2-08*07(D26-L23.15-d08-d07),1.0,996.0,2324.0,468.0,280.0,318.0,326,450,0,2022-09-13-11-34-33,776,1663040931,475.0,411.0
22007-000219,聯軸器-羅昇(TS)-夾緊型,SFC-030DA2-10*14(D34-L37.8-d10-d14),1.0,43.0,26.0,5.0,10.0,2.0,1,2,0,2022-09-13-11-34-33,3,1663040931,3.0,6.0
22007-000385,聯軸器-羅昇(TS)-夾緊型,SFC-010DA2-08*08(D19-L25.9-d08-d08),1.0,0.0,0.0,73.0,27.0,29.0,35,36,0,2022-09-13-11-34-33,71,1663040931,33.0,26.0
22007-000388,聯軸器-羅昇(TS)-夾緊型,SFC-020DA2-10*10(D26-L32.3-d10-d10),1.0,0.0,0.0,25.0,9.0,11.0,14,12,0,2022-09-13-11-34-33,26,1663040931,23.0,9.0
22008-000037,光電-遮斷式,TOYO-EE-SX672,1.0,1255.0,1470.0,205.0,205.0,126.0,172,215,0,2022-09-13-11-34-33,387,1663040931,,
22008-000039,光電-光電接頭(含2米線),TOYO-DU-P201R-棕粉黑藍,1.0,2244.0,2358.0,426.0,609.0,205.0,433,323,0,2022-09-13-11-34-33,756,1663040931,,
22008-000058,光電-遮斷式,PANASONIC-PM-T65-(外掛),1.0,22.0,533.0,24.0,153.0,151.0,115,87,0,2022-09-13-11-34-33,202,1663040931,6.0,10.0
22009-000013,C形扣-軸用外C扣,軸徑20(內徑18.5*厚1.2),1.0,0.0,900.0,700.0,1600.0,0.0,533,1122,0,2022-09-13-11-34-33,1655,1663040931,2000.0,0.0
22009-000082,C形扣-孔用內C扣,孔徑42(外徑45.5*厚1.8),1.0,50.0,452.0,700.0,0.0,0.0,194,436,0,2022-09-13-11-34-33,630,1663040931,0.0,0.0
22009-000120,C形扣-E形扣環,軸徑2(內徑2*厚0.4),1.0,5000.0,13167.0,40000.0,17200.0,5000.0,9807,8780,0,2022-09-13-11-34-33,18587,1663040931,0.0,15000.0
22009-000147,C形扣-軸用外C扣,STWN5-軸徑5(內徑4.7*厚0.6),1.0,6.0,1.0,3.0,1.0,1.0,0,8,0,2022-09-13-11-34-33,8,1663040931,4.0,0.0
22010-000009,負壓接頭air pressure connect,M5牙-內徑6-90度-(白色)-CKD-GWL6-M5,1.0,298.0,184.0,40.0,36.0,44.0,41,18,0,2022-09-13-11-34-33,59,1663040931,50.0,2.0
22010-000011,負壓接頭-塞頭,1/4PT牙-不鏽鋼,1.0,2.0,6.0,0.0,2.0,52.0,18,2,0,2022-09-13-11-34-33,20,1663040931,0.0,3.0
22010-000021,負壓接頭,GWL8-8-1/4牙-內徑8-90度-(白色),1.0,0.0,0.0,238.0,220.0,252.0,167,145,0,2022-09-13-11-34-33,312,1663040931,356.0,370.0
22010-000031,負壓接頭,GWL6-6-1/8牙-內徑6-90度,1.0,0.0,0.0,146.0,90.0,337.0,108,73,0,2022-09-13-11-34-33,181,1663040931,115.0,187.0
22011-000002,矽膠片,108*18*0.5,1.0,518.0,618.0,312.0,482.0,586.0,268,256,0,2022-09-13-11-34-33,524,1663040931,364.0,226.0
22011-000003,矽膠片,32*12*0.5,1.0,300.0,55.0,86.0,52.0,10.0,70,66,0,2022-09-13-11-34-33,136,1663040931,36.0,2.0
22011-000004,矽膠片,48*12*t0.5,1.0,265.0,20.0,12.0,52.0,8.0,12,13,0,2022-09-13-11-34-33,25,1663040931,0.0,12.0
22011-000008,矽膠片-超軟導熱矽膠片-(藍色),TG4040-12*12*t2,1.0,0.0,0.0,50.0,10.0,10.0,34,43,0,2022-09-13-11-34-33,77,1663040931,100.0,50.0
22011-000009,矽膠片-超軟導熱矽膠片-(藍色),TG4040-30*20*t2,1.0,0.0,0.0,50.0,10.0,10.0,32,44,0,2022-09-13-11-34-33,76,1663040931,101.0,70.0
22012-000001-03,螺絲-ETH5(6)特殊螺絲-03,M3*P0.5-L6-(SUS 410)-硬度HV450以上,1.0,0.0,0.0,89684.0,85000.0,69800.0,83034,86485,0,2022-09-13-11-34-33,169519,1663040931,94900.0,85140.0
22012-000311,螺絲-內六角螺絲,M3*P0.5-L6,1.0,8000.0,50800.0,60000.0,30000.0,90000.0,44573,22186,0,2022-09-13-11-34-33,66759,1663040931,60000.0,91020.0
22012-000312,螺絲-內六角螺絲,M3*P0.5-L8,1.0,0.0,11551.0,30000.0,4.0,14000.0,12224,8837,0,2022-09-13-11-34-33,21061,1663040931,0.0,22.0
22012-000314,螺絲-內六角螺絲,M3*P0.5-L12,1.0,18000.0,2525.0,0.0,0.0,0.0,0,2748,0,2022-09-13-11-34-33,2748,1663040931,0.0,0.0
22012-000317,螺絲-內六角螺絲,M3*P0.5-L20,1.0,3000.0,2425.0,0.0,3000.0,1000.0,2119,2047,0,2022-09-13-11-34-33,4166,1663040931,4000.0,8272.0
22012-000318,螺絲-內六角螺絲,M3*P0.5-L25,1.0,10000.0,1567.0,0.0,4000.0,1000.0,645,154,0,2022-09-13-11-34-33,799,1663040931,1000.0,2120.0
22012-000334,螺絲-內六角螺絲,M4*P0.7-L8,1.0,0.0,2000.0,8000.0,2044.0,6256.0,3387,5789,0,2022-09-13-11-34-33,9176,1663040931,0.0,2002.0
22012-000336,螺絲-內六角螺絲,M4*P0.7-L12,1.0,10000.0,7500.0,0.0,6000.0,0.0,2099,9787,0,2022-09-13-11-34-33,11886,1663040931,0.0,6120.0
22012-000338,螺絲-內六角螺絲,M4*P0.7-L16,1.0,15000.0,21276.0,4.0,5000.0,0.0,11896,26487,0,2022-09-13-11-34-33,38383,1663040931,0.0,7700.0
22012-000339,螺絲-內六角螺絲,M4*P0.7-L20,1.0,4000.0,6078.0,420.0,12184.0,10000.0,5238,6457,0,2022-09-13-11-34-33,11695,1663040931,216.0,7080.0
22012-000346,螺絲-內六角螺絲,M4*P0.7-L55,1.0,0.0,0.0,124.0,12.0,0.0,0,31,0,2022-09-13-11-34-33,31,1663040931,0.0,20.0
22012-000358,螺絲-內六角螺絲,M5*P0.8-L12,1.0,0.0,1826.0,3.0,0.0,0.0,0,0,0,2022-09-13-11-34-33,0,1663040931,0.0,0.0
22012-000360,螺絲-內六角螺絲,M5*P0.8-L16,1.0,25500.0,13125.0,4.0,0.0,0.0,4652,11193,0,2022-09-13-11-34-33,15845,1663040931,0.0,0.0
22012-000366,螺絲-內六角螺絲,M5*P0.8-L45,1.0,500.0,925.0,0.0,0.0,600.0,9,413,0,2022-09-13-11-34-33,422,1663040931,0.0,800.0
22012-000370,螺絲-內六角螺絲,M5*P0.8-L65,1.0,0.0,0.0,8.0,104.0,92.0,63,172,0,2022-09-13-11-34-33,235,1663040931,8.0,0.0
22012-000383,螺絲-內六角螺絲,M6*P1-L20,1.0,9000.0,5455.0,0.0,2999.0,1.0,2770,6811,0,2022-09-13-11-34-33,9581,1663040931,48.0,0.0
22012-000612,螺絲-內六角固定(設定)螺絲,M4*P0.7-L3,1.0,0.0,0.0,0.0,0.0,0.0,571,0,0,2022-09-13-11-34-33,571,1663040931,0.0,0.0
22012-000613,螺絲-內六角固定(設定)螺絲,M4*P0.7-L4,1.0,500.0,31600.0,20000.0,20002.0,20000.0,21280,23211,0,2022-09-13-11-34-33,44491,1663040931,25000.0,20000.0
22012-000673,螺絲-內六角固定(設定)螺絲,M8*P1.25-L8,1.0,0.0,6462.0,0.0,6000.0,6000.0,3963,2208,0,2022-09-13-11-34-33,6171,1663040931,10000.0,2000.0
22012-000693,螺絲-內六角固定(設定)螺絲,M10*P1.5-L10,1.0,0.0,5562.0,0.0,6000.0,6000.0,2651,1879,0,2022-09-13-11-34-33,4530,1663040931,6000.0,1500.0
22012-000825,螺絲-內六角埋頭(皿頭)螺絲,M3*P0.5-L6,1.0,0.0,24502.0,9884.0,20000.0,10000.0,13235,20754,0,2022-09-13-11-34-33,33989,1663040931,27200.0,18056.0
22012-000848,螺絲-內六角埋頭(皿頭)螺絲,M4*P0.7-L8,1.0,2000.0,4636.0,2000.0,7000.0,0.0,4699,1605,0,2022-09-13-11-34-33,6304,1663040931,0.0,3000.0
22012-000849,螺絲-內六角埋頭(皿頭)螺絲,M4*P0.7-L10,1.0,1000.0,2660.0,2004.0,5000.0,0.0,855,231,0,2022-09-13-11-34-33,1086,1663040931,0.0,4000.0
22012-001111,螺絲-內六角半圓頭螺絲,M3*P0.5-L6,1.0,3000.0,14875.0,16500.0,10000.0,5000.0,10863,12900,0,2022-09-13-11-34-33,23763,1663040931,10300.0,5000.0
22012-001133,螺絲-內六角半圓頭螺絲,M4*P0.7-L6,1.0,0.0,32301.0,805.0,60000.0,30503.0,11775,16228,0,2022-09-13-11-34-33,28003,1663040931,142.0,10800.0
22012-001135,螺絲-內六角半圓頭螺絲,M4*P0.7-L10,1.0,0.0,5250.0,3000.0,8000.0,4000.0,2262,4165,0,2022-09-13-11-34-33,6427,1663040931,2000.0,2000.0
22012-001156,螺絲-內六角半圓頭螺絲,M5*P0.8-L8,1.0,0.0,6813.0,5000.0,15000.0,1000.0,1135,4906,0,2022-09-13-11-34-33,6041,1663040931,8000.0,0.0
22012-001386,螺絲-內六角螺絲,M2.5*P0.45-L4,1.0,100.0,671.0,510.0,0.0,144.0,1439,1162,0,2022-09-13-11-34-33,2601,1663040931,0.0,0.0
22012-001426,螺絲-內六角螺絲,M5*P0.8*L120,1.0,134.0,68.0,16.0,72.0,16.0,45,37,0,2022-09-13-11-34-33,82,1663040931,0.0,24.0
22012-001438,螺絲-內六角螺絲,M2*P0.4-L8,1.0,199.0,83.0,16.0,2.0,30.0,22,28,0,2022-09-13-11-34-33,50,1663040931,0.0,12.0
22012-001493,螺絲-十字半圓頭螺絲,M2*P0.4-L6,1.0,0.0,0.0,0.0,0.0,0.0,0,35,0,2022-09-13-11-34-33,35,1663040931,550.0,0.0
22012-001495,螺絲-內六角螺絲+彈簧墊片,M5*P0.8*L16+彈片(白鐵CAP),1.0,38000.0,3299.0,0.0,12000.0,0.0,0,2141,0,2022-09-13-11-34-33,2141,1663040931,0.0,1664.0
22012-001512,螺絲-十字埋頭(皿頭)螺絲,M2.5*P0.45*L12,1.0,0.0,0.0,0.0,0.0,3000.0,698,421,0,2022-09-13-11-34-33,1119,1663040931,0.0,0.0
22012-001513,螺絲-十字半圓頭螺絲,M2*P0.4-L8,1.0,0.0,0.0,0.0,0.0,0.0,0,339,0,2022-09-13-11-34-33,339,1663040931,900.0,0.0
22012-001514,螺絲-十字半圓頭螺絲,M2*P0.4-L10,1.0,0.0,0.0,0.0,0.0,0.0,8,94,0,2022-09-13-11-34-33,102,1663040931,500.0,1000.0
22012-001536,螺絲-內六角螺絲(SUS304+鍍黑鋅),M4*P0.7-L12,1.0,0.0,0.0,348.0,104.0,40.0,489,531,0,2022-09-13-11-34-33,1020,1663040931,540.0,268.0
22012-001537,螺絲-內六角螺絲(SUS304+鍍黑鋅),M4*P0.7-L16,1.0,0.0,0.0,268.0,100.0,220.0,376,393,0,2022-09-13-11-34-33,769,1663040931,340.0,364.0
22012-001554,螺絲-內六角螺絲,M3*P0.5-L20+彈簧華司+precote,1.0,0.0,0.0,54000.0,52000.0,48000.0,65073,52530,0,2022-09-13-11-34-33,117603,1663040931,56000.0,48000.0
22012-001556,螺絲-內六角埋頭(皿頭)螺絲,M3*P0.5-L6+precote,1.0,0.0,0.0,40000.0,41000.0,20000.0,26206,38519,0,2022-09-13-11-34-33,64725,1663040931,40000.0,40000.0
22012-001557,螺絲-內六角螺絲,M3*P0.5-L8+precote,1.0,0.0,0.0,39000.0,25000.0,35000.0,32338,30758,0,2022-09-13-11-34-33,63096,1663040931,55000.0,40000.0
22012-001558,螺絲-內六角螺絲,M4*P0.7-L12+precote,1.0,0.0,0.0,22300.0,23000.0,30000.0,16356,18008,0,2022-09-13-11-34-33,34364,1663040931,18000.0,15000.0
22012-001559,螺絲-內六角螺絲,M4*P0.7-L16+precote,1.0,0.0,0.0,75000.0,95000.0,100000.0,65516,65902,0,2022-09-13-11-34-33,131418,1663040931,42500.0,50000.0
22013-000020,定位銷,MS6-20-直徑6-長20,1.0,500.0,507.0,500.0,500.0,680.0,449,597,0,2022-09-13-11-34-33,1046,1663040931,500.0,600.0
22013-000040,定位銷-螺帽固定銷,GTH5-直徑6-長8,1.0,4009.0,6250.0,14000.0,0.0,0.0,4021,4911,0,2022-09-13-11-34-33,8932,1663040931,0.0,4000.0
22013-000047,定位銷-螺帽固定銷,GTH8-直徑8-長8,1.0,4215.0,4579.0,0.0,0.0,6615.0,2568,932,0,2022-09-13-11-34-33,3500,1663040931,9003.0,4006.0
22019-000006,螺帽-外六角螺帽,M3-厚2.4-對邊5.5,1.0,0.0,83667.0,95000.0,37000.0,107000.0,53093,38033,0,2022-09-13-11-34-33,91126,1663040931,60000.0,93000.0
22019-000023-02,螺帽-02,NR8*P0.75(銅片分離型),1.0,0.0,0.0,5943.0,3582.0,3158.0,4336,4873,0,2022-09-13-11-34-33,9209,1663040931,5354.0,4827.0
22019-000027,螺帽-外六角螺帽,M14-P1.5-厚11-對邊22,1.0,275.0,160.0,0.0,90.0,0.0,135,251,0,2022-09-13-11-34-33,386,1663040931,500.0,0.0
22019-000061-02,螺帽-固定螺帽-02,M12*P1-(精車)(銅片分離型),1.0,0.0,0.0,6871.0,5821.0,4693.0,5146,5626,0,2022-09-13-11-34-33,10772,1663040931,6363.0,5610.0
22019-000065,螺帽-方型螺帽,M4-四角帽-7*7,1.0,0.0,0.0,91.0,110.0,166.0,90,89,0,2022-09-13-11-34-33,179,1663040931,81.0,119.0
22019-000073,螺帽,Misumi-BNR5,1.0,0.0,0.0,42.0,27.0,26.0,21,16,0,2022-09-13-11-34-33,37,1663040931,35.0,9.0
22019-000081,螺帽-固定螺帽,CHS20-M12-厚7,1.0,0.0,0.0,0.0,2.0,0.0,13,2,0,2022-09-13-11-34-33,15,1663040931,38.0,100.0
22020-000003,O型環,P4-內徑3.8*外徑7.6*厚1.9,1.0,4993.0,2900.0,2978.0,2000.0,20.0,923,1614,0,2022-09-13-11-34-33,2537,1663040931,3000.0,0.0
22020-000006,O型環,P7-內徑6.8*外徑10.6*厚1.9,1.0,0.0,0.0,5506.0,72.0,318.0,4529,4220,0,2022-09-13-11-34-33,8749,1663040931,3062.0,4166.0
22020-000010,O型環,P10A-內徑9.8*外徑14.6*厚2.4,1.0,0.0,0.0,212.0,153.0,246.0,155,123,0,2022-09-13-11-34-33,278,1663040931,288.0,294.0
22020-000066,O型環,NPA9,1.0,0.0,0.0,131.0,75.0,57.0,78,85,0,2022-09-13-11-34-33,163,1663040931,103.0,49.0
22020-000067,O型環,NPA12,1.0,0.0,0.0,139.0,128.0,44.0,85,68,0,2022-09-13-11-34-33,153,1663040931,75.0,41.0
22020-000084,O型環,NPA5,1.0,0.0,0.0,97.0,45.0,23.0,53,62,0,2022-09-13-11-34-33,115,1663040931,51.0,75.0
22021-000322,履帶-固定板,15000.050.34PZ-A2(含活動端+固定端),1.0,0.0,0.0,24.0,8.0,7.0,8,14,0,2022-09-13-11-34-33,22,1663040931,9.0,10.0
22021-000323,履帶-固定板,15000.038.34PZ-A2(含活動端+固定端),1.0,0.0,0.0,32.0,6.0,7.0,11,14,0,2022-09-13-11-34-33,25,1663040931,11.0,13.0
22023-000001-03,軸心-軸承限制軸心-03,外徑8-長60,1.0,0.0,0.0,159.0,193.0,188.0,153,138,0,2022-09-13-11-34-33,291,1663040931,166.0,127.0
22023-000006-03,軸心-滾輪軸心-03,外徑3-長37,1.0,0.0,0.0,0.0,78.0,0.0,19,61,0,2022-09-13-11-34-33,80,1663040931,50.0,50.0
22023-000011-02,軸心-軸承限制軸心 -02,外徑10-長77,1.0,0.0,0.0,1.0,5.0,4.0,4,2,0,2022-09-13-11-34-33,6,1663040931,2.0,2.0
22023-000016-02,軸心-軸承限制軸心-02,外徑10-長101,1.0,0.0,0.0,5.0,46.0,14.0,6,9,0,2022-09-13-11-34-33,15,1663040931,9.0,2.0
22023-000033-02,軸心-滾輪軸心-02,外徑3-長47,1.0,0.0,0.0,151.0,82.0,16.0,163,96,0,2022-09-13-11-34-33,259,1663040931,68.0,4.0
22023-000034-02,軸心-滾輪軸心-02,直徑3*長65,1.0,0.0,0.0,12.0,78.0,8.0,35,30,0,2022-09-13-11-34-33,65,1663040931,0.0,12.0
22023-000038-02,軸心-滾輪軸心-02,直徑3*長64,1.0,0.0,0.0,12.0,78.0,8.0,13,46,0,2022-09-13-11-34-33,59,1663040931,0.0,12.0
22023-000039-02,軸心-滾輪軸心-02,直徑3*長90,1.0,0.0,0.0,64.0,100.0,20.0,117,90,0,2022-09-13-11-34-33,207,1663040931,8.0,0.0
22024-000002,塑膠件-滑座上蓋,ET(C)H(B)5-70.5*50*10,1.0,1334.0,20.0,4.0,28.0,13.0,12,12,0,2022-09-13-11-34-33,24,1663040931,11.0,7.0
22024-000006,塑膠件-塑膠端蓋,ETH12-101.5*65.8-(BLACK 6U-尼龍),1.0,640.0,4.0,4.0,2.0,9.0,13,1,0,2022-09-13-11-34-33,14,1663040931,0.0,3.0
22024-000008,塑膠件-塑膠端蓋,ETH17-169.5*89.8-(BLACK 6U-尼龍),1.0,256.0,151.0,117.0,386.0,125.0,209,70,0,2022-09-13-11-34-33,279,1663040931,73.0,50.0
22024-000014,塑膠件-滾輪擋塊,外徑7*內徑3*厚3.5,1.0,5000.0,7004.0,2928.0,20000.0,0.0,6719,7171,0,2022-09-13-11-34-33,13890,1663040931,0.0,7000.0
22024-000019-02,塑膠件-防撞塊-02,8mm防撞塊-33*28*7,1.0,0.0,0.0,18.0,68.0,43.0,146,252,0,2022-09-13-11-34-33,398,1663040931,506.0,28.0
22024-000020,塑膠件-防撞塊,8mm防撞塊-40*40*8,1.0,411.0,170.0,63.0,184.0,45.0,161,215,0,2022-09-13-11-34-33,376,1663040931,132.0,255.0
22024-000022,塑膠件-滾輪擋塊,外徑7*內徑3*厚2,1.0,5000.0,25465.0,17466.0,45000.0,10034.0,19456,15258,0,2022-09-13-11-34-33,34714,1663040931,10000.0,17000.0
22024-000026,塑膠件-滑座孔蓋,M65-外徑8.5*厚1.75,1.0,318.0,78.0,164.0,188.0,34.0,57,86,0,2022-09-13-11-34-33,143,1663040931,43.0,70.0
22024-000042,塑膠件-Y50螺帽限制塊,Y50-16.5*12.3*4.1,1.0,319.0,779.0,108.0,578.0,262.0,148,265,0,2022-09-13-11-34-33,413,1663040931,44.0,82.0
22024-000054,塑膠件-塑膠端蓋,CKD-ETH17-169.5*89.8-(孟塞爾10Y8/1-ABS),1.0,69.0,5.0,7.0,4.0,6.0,0,1,0,2022-09-13-11-34-33,1,1663040931,4.0,5.0
22024-000061,塑膠件-鋼帶壓板,ET(C)H(B)5(6)M-28*10*4.38,1.0,2702.0,48.0,36.0,82.0,72.0,126,27,0,2022-09-13-11-34-33,153,1663040931,35.0,25.0
22024-000103-02,塑膠件-滑座鋼珠循環器-端蓋-02,GTH5-(ECPI-PIX)-珠徑3.175-(尼龍),1.0,0.0,0.0,10000.0,0.0,30000.0,11240,10528,0,2022-09-13-11-34-33,21768,1663040931,0.0,25500.0
22024-000104,塑膠件-滑座鋼珠循環器-內循環-A,GTH5-(ICPI-PIX)-珠徑3.175,1.0,5580.0,20179.0,10000.0,1000.0,30000.0,11558,9160,0,2022-09-13-11-34-33,20718,1663040931,0.0,26000.0
22024-000105,塑膠件-滑座鋼珠循環器-內循環-B,GTH5-(ICPI-PIX)-珠徑3.175,1.0,5580.0,20179.0,10000.0,1000.0,30000.0,12761,9843,0,2022-09-13-11-34-33,22604,1663040931,0.0,26000.0
22024-000106-04,塑膠件-螺桿潤滑單元-04,GTH5-(LSU-PIX)-外徑24+20-內徑14+12.8,1.0,0.0,0.0,4756.0,2643.0,2470.0,3834,4488,0,2022-09-13-11-34-33,8322,1663040931,4572.0,3928.0
22024-000120,塑膠件-塑膠蓋板,TC-100-153*74.5*30-(孟塞爾10Y8/1-ABS),1.0,602.0,249.0,18.0,30.0,270.0,215,226,0,2022-09-13-11-34-33,441,1663040931,682.0,360.0
22024-000172,塑膠件-JTH-面板塑膠端蓋-(左),JTH-129.4*76.3*30.2-(孟塞爾10Y8/1-ABS),1.0,74.0,3.0,7.0,3.0,11.0,3,2,0,2022-09-13-11-34-33,5,1663040931,2.0,3.0
22024-000175,塑膠件-JTH-Z柱塑膠端蓋-(右),JTH-131*42*21.3-(孟塞爾10Y8/1-ABS),1.0,104.0,3.0,7.0,0.0,10.0,3,5,0,2022-09-13-11-34-33,8,1663040931,4.0,8.0
22024-000187,塑膠件-JTH-Z柱塑膠端蓋-(左),JTH-131*42*21.3-(PANTONE-2227-ABS),1.0,83.0,50.0,14.0,3.0,15.0,10,16,0,2022-09-13-11-34-33,26,1663040931,0.0,7.0
22024-000192-05,塑膠件-螺桿潤滑單元-05,GTH8-35.25*18*16,1.0,0.0,0.0,8162.0,4942.0,6148.0,7167,7208,0,2022-09-13-11-34-33,14375,1663040931,6734.0,7618.0
22024-000193-03,塑膠件-螺桿潤滑單元-03,GTH4-21.2*20*10.7,1.0,0.0,0.0,2184.0,1526.0,1070.0,1393,1826,0,2022-09-13-11-34-33,3219,1663040931,1596.0,1738.0
22024-000195,塑膠件-滑座鋼珠循環器-端蓋,GTH8-53.95*44.03*13.5,1.0,4750.0,13354.0,10024.0,4126.0,5000.0,7554,9813,0,2022-09-13-11-34-33,17367,1663040931,8002.0,4500.0
22024-000199,塑膠件-聯軸器上蓋,GTH5-53.5*53.2*47.5-(Gray11 C-ABS),1.0,2202.0,100.0,16.0,3.0,1.0,63,100,0,2022-09-13-11-34-33,163,1663040931,30.0,9.0
22024-000205,塑膠件-聯軸器上蓋,GTH8-72.5*64*45-(Gray11 C-ABS),1.0,2476.0,100.0,6.0,19.0,9.0,2,0,0,2022-09-13-11-34-33,2,1663040931,14.0,13.0
22024-000253-02,塑膠件-防撞塊-02,GTH(Y)5-30*13*4,1.0,0.0,0.0,9180.0,5102.0,4628.0,6891,7211,0,2022-09-13-11-34-33,14102,1663040931,8872.0,7652.0
22024-000259,塑膠件-CKD聯軸器上蓋,GTH4-44.3*42.8*42-(孟塞爾5GY7.5/0.5-ABS),1.0,0.0,0.0,1.0,2.0,6.0,9,8,0,2022-09-13-11-34-33,17,1663040931,1.0,15.0
22024-000260,塑膠件-CKD聯軸器上蓋,GTH5-53.5*53.1*47.3(孟塞爾5GY7.5/0.5-ABS,1.0,0.0,0.0,13.0,12.0,20.0,21,11,0,2022-09-13-11-34-33,32,1663040931,6.0,15.0
22024-000261,塑膠件-CKD聯軸器上蓋,GTH8-72.5*64*44.8-(孟塞爾5GY7.5/0.5-ABS),1.0,0.0,0.0,33.0,42.0,26.0,20,14,0,2022-09-13-11-34-33,34,1663040931,12.0,16.0
22024-000277,塑膠件-緩衝塊,CGTH4-35M-外徑20*7L,1.0,0.0,0.0,42.0,27.0,26.0,21,11,0,2022-09-13-11-34-33,32,1663040931,35.0,9.0
22024-000278,塑膠件-滑座上蓋,(C)GTH4/EBS4-89.97*42.6*9-(孟塞爾5GY7.5/0.5-ABS),1.0,0.0,0.0,980.0,704.0,503.0,620,678,0,2022-09-13-11-34-33,1298,1663040931,709.0,771.0
22024-000283-02,塑膠件-塑膠端蓋-02,(C)GTH8-145*59.5*34.5*厚2.2-(孟塞爾5GY7.5/0.5-ABS),1.0,0.0,0.0,234.0,132.0,173.0,144,172,0,2022-09-13-11-34-33,316,1663040931,135.0,147.0
22024-000284,塑膠件-聯軸器上蓋,(C)GTH4-44.3*42.8*42-(孟塞爾5GY7.5/0.5-ABS),1.0,0.0,0.0,96.0,66.0,69.0,121,122,0,2022-09-13-11-34-33,243,1663040931,115.0,41.0
22024-000285,塑膠件-聯軸器上蓋,(C)GTH5-53.5*53.2*47.3(孟塞爾5GY7.5/0.5-ABS),1.0,0.0,0.0,428.0,204.0,222.0,489,381,0,2022-09-13-11-34-33,870,1663040931,399.0,369.0
22024-000286,塑膠件-聯軸器上蓋,(C)GTH8-72.5*64*44.8-(孟塞爾5GY7.5/0.5-ABS),1.0,0.0,0.0,287.0,260.0,209.0,264,219,0,2022-09-13-11-34-33,483,1663040931,284.0,260.0
22024-000293-02,塑膠件-編碼器端蓋-02,DM25-30.5*27*19.2-(孟塞爾5GY7.5/0.5-ABS),1.0,0.0,0.0,0.0,0.0,10.0,4,12,0,2022-09-13-11-34-33,16,1663040931,20.0,40.0
22024-000294-02,塑膠件-編碼器端蓋-02,DM40-37*33.5*19.2-(孟塞爾5GY7.5/0.5-ABS),1.0,0.0,0.0,22.0,29.0,5.0,7,28,0,2022-09-13-11-34-33,35,1663040931,25.0,45.0
22024-000307,塑膠件-防撞塊-高速軸承端,EBS(R)8-48*16*11,1.0,0.0,0.0,54.0,80.0,66.0,67,66,0,2022-09-13-11-34-33,133,1663040931,50.0,53.0
22024-000308,塑膠件-防撞塊-高速軸承端,EBS(R)5-30*16.5*4,1.0,0.0,0.0,76.0,83.0,127.0,92,94,0,2022-09-13-11-34-33,186,1663040931,70.0,62.0
22024-000309,塑膠件-防撞塊-抱持端,EBS(R)5-30*15.5*4,1.0,0.0,0.0,76.0,83.0,127.0,92,95,0,2022-09-13-11-34-33,187,1663040931,70.0,62.0
22024-000320,塑膠件-塑膠端蓋,GTH12-180.75*61.5*24.5*厚2.2-(孟賽爾5GY7.5/0.5-ABS),1.0,0.0,0.0,72.0,90.0,128.0,66,50,0,2022-09-13-11-34-33,116,1663040931,55.0,72.0
22024-000336,塑膠件-尼龍華司(WS063614),外徑6*內徑3.2*厚1.4,1.0,0.0,0.0,16.0,1744.0,352.0,208,150,0,2022-09-13-11-34-33,358,1663040931,0.0,0.0
22024-000339-02,塑膠件-塑膠端蓋-02,LGF15-73.4*58.75*19.42-(ABS),1.0,0.0,0.0,12.0,42.0,60.0,25,24,0,2022-09-13-11-34-33,49,1663040931,108.0,26.0
22024-000340,塑膠件-端部軸承抱持座,GTH12-118.5*57*17.5(孟賽爾5GY7.5/0.5-ABS),1.0,0.0,0.0,1480.0,1612.0,791.0,879,740,0,2022-09-13-11-34-33,1619,1663040931,1328.0,913.0
22024-000352,塑膠件-防撞塊,LGF15-優力膠90度-50*16*11,1.0,0.0,0.0,12.0,42.0,60.0,27,28,0,2022-09-13-11-34-33,55,1663040931,114.0,30.0
22024-000365,塑膠件-聯軸器上蓋,GTH12-40.5*36.5*2.3(孟塞爾5GY7.5/0.5-ABS),1.0,0.0,0.0,707.0,922.0,522.0,621,561,0,2022-09-13-11-34-33,1182,1663040931,729.0,526.0
22024-000366-02,塑膠件-塑膠蓋板-02,XC-100-153*77*34,1.0,0.0,0.0,50.0,10.0,10.0,34,47,0,2022-09-13-11-34-33,81,1663040931,1.0,50.0
22024-000368,塑膠件-皮帶輪外蓋,EBS-05-104.7*49.2*25*厚2-(孟塞爾5GY7.5/0.5-ABS),1.0,0.0,0.0,28.0,10.0,94.0,29,19,0,2022-09-13-11-34-33,48,1663040931,16.0,11.0
22024-000369,塑膠件-皮帶輪外蓋,EBS-08-145*59.5*34.5*厚2.2-(孟塞爾5GY7.5/0.5-ABS),1.0,0.0,0.0,8.0,24.0,17.0,19,10,0,2022-09-13-11-34-33,29,1663040931,4.0,10.0
